survey,gender,age,age_num,marital_status,no_kids,education,income,US_census_region,US_census_division,community,distance_from_coast,political2,Q4_fish_hunt,Q4_fishing,Q4_hunting,Q4_none,Q4_total,Q7_impact_me,Q8_ocean_need_cons,Q8_fw_need_cons,Q8_land_need_cons,Q8_total_need,Q10_animal_health,Q11_habitat_health,Q13_concern_both,Q14_voted,Q14_donated,Q15_voting_effective,Q15_donation_effective,Q16_participate,Q18_aware_org,Q20.protect_area,Q20.captive_breed_reintroduce,Q20.relocate,Q20.enforcement,Q20.education,Q20.supplament_fishing,Q21_fund_source_penalties,Q21_fund_source_partnerships,Q21_fund_source_market
Ocean,male,45 - 54,53,married,2,university,high,West,Pacific,Urban,5,Right,Both,1,1,0,6,0.8,0.9,1,0.93,0.93,0.4,0.4,0.4,1,1,0.4,0.2,1,0,0.8,1,1,1,1,1,1,1,1
Ocean,female,35 - 44,46,living_with_partner,0,university,low,West,Mountain,Urban,5,Left,None,0,0,0,1,0.4,1,1,0.87,0.93,0.4,0.4,0.8,0,0,0.8,0.8,1,1,1,0.8,0.6,1,1,0.8,1,1,0
Ocean,male,18 - 24,22,single,0,high_school,high,West,Mountain,Urban,4,Right,Fish,1,0,0,4,0.65,0.9,1,0.73,0.83,0.6,0.6,0.8,0,1,0.6,0.2,0,0,0.4,0.6,0.6,0.2,0.6,0.4,0,1,0
Ocean,female,54+,63,single,0,university,low,South,South_Atlantic,Suburban,4,Moderate,None,0,0,1,0,0.2,0.7,0.6,0.6,0.63,0.6,0.6,0.6,0,0,0.8,0.8,0,0,0.8,0.8,0.8,0.8,0.8,0.6,1,1,0
Ocean,female,54+,80,married,0,university,low,South,East_South_Central,Suburban,5,Right,Fish,1,0,0,2,0.1,0.8,0.6,0.8,0.77,0.6,0.6,0.6,0,0,0.6,0.6,1,0,0.8,0.8,0.6,0.8,0.8,0.8,1,0,0
Ocean,female,25 - 34,34,married,4,high_school,low,South,South_Atlantic,Rural,5,wont_say,None,0,0,1,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0.6,0.6,1,0,0.6,0.6,0.6,0.6,0.6,0.6,1,0,0
Ocean,female,25 - 34,33,single,0,high_school,low,South,West_South_Central,Rural,0,Right,Fish,1,0,0,1,0.05,1,1,1,1,0.2,1,1,0,0,1,0.2,0,0,1,1,1,1,1,1,1,0,0
Ocean,male,25 - 34,30,married,0,university,low,South,South_Atlantic,Urban,4,Right,None,0,0,0,1,0.25,0.6,0.4,0.67,0.6,0.4,0.6,0.6,0,1,0.4,0.8,0,0,1,0.6,0.6,0.8,0.8,0.6,0,1,0
Ocean,female,18 - 24,25,married,0,high_school,low,South,South_Atlantic,Rural,4,Left,None,0,0,0,1,0.1,0.6,0.4,0.4,0.47,1,0.6,0.2,0,0,0.2,0.8,0,0,0.4,0.2,0.6,0.2,0.4,0.8,0,1,0
Ocean,female,54+,69,married,0,vocational_technical_college,low,South,East_South_Central,Rural,5,Right,None,0,0,1,0,0.2,0.8,0.8,0.6,0.7,0.6,0.6,0.6,0,0,0.6,0.8,0,0,1,0.6,0.6,1,1,1,0,0,0
Ocean,female,35 - 44,39,married,2,university,middle,Northeast,Middle_Atlantic,Suburban,2,Moderate,Fish,1,0,0,3,0.15,0.7,0.6,0.8,0.73,0.4,0.4,1,1,0,0.8,0.8,0,0,0.8,0.8,0.6,0.8,0.6,0.8,0,1,1
Ocean,female,35 - 44,39,living_with_partner,0,university,middle,West,Pacific,Suburban,2,Left,None,0,0,0,1,0.5,0.9,0.8,0.73,0.8,0.4,0.4,0.6,1,1,0.2,0.2,1,0,1,1,1,1,1,0.8,0,1,0
Ocean,female,54+,86,widowed,0,university,low,West,Pacific,Suburban,2,Moderate,None,0,0,1,0,0.25,0.6,1,0.87,0.8,0.4,0.4,0.8,0,0,0.8,0.8,0,0,0.8,0.8,0.8,1,1,0.8,0,1,0
Ocean,male,54+,62,married,0,vocational_technical_college,low,South,South_Atlantic,Urban,2,Moderate,None,0,0,1,0,0.8,1,1,0.93,0.97,0.2,0.2,1,1,0,0.6,0.6,1,0,1,0.8,1,1,1,1,1,1,1
Ocean,male,45 - 54,53,single,0,university,low,Northeast,New_England,Urban,1,Right,Fish,1,0,0,2,0.1,0.8,1,0.8,0.83,0.8,0.6,0.8,0,0,0.2,0.2,0,0,1,0.6,0.8,1,1,1,0,0,0
Ocean,female,54+,66,married,0,university,wont_say,West,Mountain,Suburban,1,wont_say,Fish,1,0,0,2,0.45,0.7,0.8,0.73,0.73,0.4,0.6,1,0,1,0.6,0.8,0,0,0.4,0.8,0.8,1,1,0.8,1,0,0
Ocean,female,45 - 54,49,divorced,2,university,middle,South,East_South_Central,Rural,2,Left,None,0,0,1,0,0.1,0.6,0.4,0.53,0.53,1,1,1,0,0,0.8,0.8,1,1,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0
Ocean,male,54+,68,living_with_partner,0,university,low,West,Pacific,Urban,4,Left,Fish,1,0,0,1,0.4,0.7,1,0.73,0.77,0.6,0.6,0.8,0,0,0.8,0.6,0,0,1,1,0.8,1,0.8,0.8,1,1,0
Ocean,male,54+,77,married,1,high_school,middle,Midwest,East_North_Central,Suburban,5,Right,None,0,0,1,0,0.2,0.7,0.6,0.6,0.63,0.8,0.8,0.6,0,0,0.6,0.6,0,0,0.8,0.8,0.6,0.6,0.6,0.6,1,0,0
Ocean,female,54+,63,widowed,0,high_school,low,South,South_Atlantic,Suburban,4,Moderate,None,0,0,1,0,0.2,0.6,0.6,0.6,0.6,0.4,0.4,1,0,0,0.4,0.8,0,0,1,1,1,1,1,1,1,1,1
Ocean,female,54+,73,married,0,high_school,low,South,South_Atlantic,Suburban,2,Moderate,Fish,1,0,0,1,0.1,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0,0,0.8,0.8,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0,1,0
Ocean,female,54+,70,married,1,high_school,low,West,Mountain,Urban,5,Moderate,None,0,0,1,0,0.25,0.8,1,0.8,0.83,0.4,0.4,0.8,0,0,0.8,0.8,1,0,0.8,1,0.8,1,1,1,1,1,0
Ocean,female,54+,65,married,0,university,middle,South,South_Atlantic,Suburban,5,Right,Fish,1,0,0,3,0.8,1,1,0.6,0.8,0.8,0.4,1,0,0,0.6,0.8,0,0,1,0.8,0.8,1,1,0.6,1,1,1
Ocean,female,45 - 54,54,living_with_partner,2,university,low,Northeast,Middle_Atlantic,Urban,5,Left,None,0,0,0,1,0.2,0.6,0.8,0.47,0.57,0.4,0.4,0.8,0,0,1,0.8,0,0,0.8,0.2,0.4,0.4,0.4,1,0,0,0
Ocean,female,54+,74,divorced,0,high_school,low,Northeast,Middle_Atlantic,Urban,2,Left,None,0,0,0,1,1,1,1,1,1,0.2,0.2,1,1,1,0.8,0.8,1,0,1,1,1,1,1,0.6,1,1,1
Ocean,male,35 - 44,43,married,0,university,middle,Northeast,Middle_Atlantic,Suburban,4,wont_say,None,0,0,0,1,0.15,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0.6,0.6,1,0,0.6,0.6,0.6,0.4,0.6,0.6,0,0,0
Ocean,male,54+,70,single,0,university,low,West,Mountain,Rural,5,Left,None,0,0,0,2,0.95,1,1,1,1,0.2,0.2,1,1,0,0.8,0.6,1,1,1,0.8,0.8,1,1,1,1,1,1
Ocean,female,25 - 34,31,single,0,high_school,low,South,South_Atlantic,Rural,1,Left,Fish,1,0,0,4,1,1,0.8,0.87,0.9,0.4,0.4,0.8,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
Ocean,male,45 - 54,56,widowed,0,university,low,Northeast,New_England,Suburban,2,Left,None,0,0,0,2,0.4,0.8,0.8,0.93,0.87,0.4,0.4,0.2,0,0,0.4,0.6,1,0,0.8,0.8,0.8,0.8,1,0.8,0,1,1
Ocean,male,25 - 34,32,married,0,university,middle,South,West_South_Central,Urban,4,Moderate,Both,1,1,0,2,0.05,0.8,1,0.8,0.83,0.8,0.8,0.8,1,0,0.8,0.6,1,1,0.8,1,0.6,0.8,1,1,0,0,1
Ocean,female,54+,67,separated,1,university,low,Midwest,East_North_Central,Urban,2,Moderate,Fish,1,0,0,1,0.45,0.8,0.6,0.8,0.77,0.6,0.6,0.8,1,0,0.8,0.6,0,0,1,0.8,1,0.8,1,0.8,1,1,1
Ocean,male,54+,69,married,0,postgraduate,low,Northeast,Middle_Atlantic,Rural,2,Right,None,0,0,0,1,0,0.6,0.6,0.73,0.67,0.6,0.6,0.8,0,0,0.6,0.6,1,0,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0
Ocean,female,25 - 34,35,married,0,postgraduate,middle,South,South_Atlantic,Suburban,4,Moderate,None,0,0,0,1,0.45,0.7,0.8,0.53,0.63,0.6,0.6,0.6,0,0,0.2,0.6,1,1,1,0.6,0.8,0.8,1,0.4,1,1,0
Ocean,male,54+,67,married,2,high_school,middle,South,West_South_Central,Urban,5,Moderate,Fish,1,0,0,2,0.3,0.9,0.8,0.73,0.8,0.6,0.6,0.8,0,0,0.4,0.6,1,0,0.8,0.8,0.8,1,1,0.8,0,1,1
Ocean,male,54+,60,married,1,university,middle,South,West_South_Central,Suburban,2,Left,Both,1,1,0,2,0.1,0.4,0.6,0.47,0.47,0.6,0.6,0.6,0,0,0.6,0.6,0,0,0.6,0.6,0.6,0.8,0.6,0.6,0,0,0
Ocean,female,54+,71,married,0,university,low,Northeast,Middle_Atlantic,Urban,2,Moderate,None,0,0,1,0,0.5,0.5,0.4,0.53,0.5,0.6,0.4,0.8,1,0,0.8,0.8,0,0,0.8,0.8,0.6,0.8,0.8,0.6,0,1,0
Ocean,female,54+,75,widowed,0,university,low,Northeast,New_England,Suburban,1,Left,None,0,0,1,0,0.6,1,1,0.93,0.97,0.4,0.4,0.8,0,0,0.8,0.8,0,0,1,1,1,1,1,1,1,1,1
Ocean,female,45 - 54,47,married,2,university,middle,South,South_Atlantic,Urban,1,Moderate,Fish,1,0,0,5,0.1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0.6,0.6,1,0,0.6,0.6,0.6,0.6,0.6,0.6,0,1,0
Ocean,male,25 - 34,28,single,0,university,wont_say,Midwest,East_North_Central,Rural,5,Right,Fish,1,0,0,2,0.5,0.8,0.8,0.8,0.8,0.6,0.6,0.8,0,0,0.8,0.6,0,1,0.8,0.8,0.6,0.8,0.6,0.8,0,1,0
Ocean,male,35 - 44,43,married,0,postgraduate,high,Midwest,West_North_Central,Urban,2,Moderate,Hunt,0,1,0,4,0.75,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,0.8,0.8,0,0,0.8,0.8,0.8,1,1,0.8,0,1,0
Ocean,male,45 - 54,47,prefer_not_to_say,NA,postgraduate,wont_say,Northeast,Middle_Atlantic,Urban,5,Left,None,0,0,0,1,0.05,0.2,0.2,0.27,0.23,0.2,0.4,0.2,0,0,0.2,0.2,0,1,0.2,0.2,0.2,0.4,0.2,0.2,0,0,1
Ocean,female,35 - 44,42,prefer_not_to_say,NA,postgraduate,wont_say,Midwest,East_North_Central,Urban,2,Moderate,None,0,0,0,1,0.9,0.8,1,0.87,0.87,0.4,0.4,0.8,1,1,0.8,0.8,0,1,1,0.8,0.8,1,1,0.8,1,0,1
Ocean,male,54+,67,married,1,university,middle,South,East_South_Central,Suburban,5,Right,Fish,1,0,0,5,0.6,0.8,0.8,0.73,0.77,0.8,0.4,1,0,1,0.6,0.8,1,1,1,1,1,1,1,1,1,0,0
Ocean,male,45 - 54,47,married,NA,vocational_technical_college,wont_say,South,South_Atlantic,Suburban,2,Left,Fish,1,0,0,1,0.05,0.6,0.6,0.6,0.6,0.6,0.6,0.2,0,0,0.6,0.6,0,0,0.6,0.6,0.6,1,0.6,0.6,0,1,0
Ocean,female,54+,57,married,1,postgraduate,high,Midwest,East_North_Central,Suburban,5,Moderate,None,0,0,1,0,0.35,0.6,0.6,0.67,0.63,0.6,0.6,0.8,0,0,0.8,0.6,0,0,0.8,1,0.8,0.8,0.8,0.8,0,1,0
Ocean,male,54+,62,divorced,1,university,wont_say,South,West_South_Central,Urban,2,wont_say,Fish,1,0,0,2,0.1,0.9,0.8,0.6,0.73,0.6,0.6,0.2,0,0,0.8,0.8,0,0,0.8,0.8,0.6,0.8,1,0.8,1,1,0
Ocean,male,54+,75,single,0,university,low,South,South_Atlantic,Rural,5,Right,Fish,1,0,0,1,0,0.6,0.6,0.6,0.6,0.4,0.6,0.8,0,0,0.6,0.6,0,0,0.8,0.8,0.6,0.6,0.4,0.6,0,1,0
Ocean,male,54+,58,married,0,university,low,Midwest,East_North_Central,Rural,5,Right,None,0,0,1,0,0.1,0.3,0.6,0.47,0.43,0.8,0.8,0.6,0,0,0.2,0.4,1,0,0.4,0.8,0.8,0.8,0.8,0.8,0,0,1
Ocean,male,25 - 34,35,single,2,university,low,Northeast,Middle_Atlantic,Suburban,2,Right,Both,1,1,0,4,0.3,0.7,0.6,0.6,0.63,0.6,0.4,0.8,0,0,0.6,0.6,0,0,0.8,0.8,0.8,0.8,0.6,0.6,1,1,1
Ocean,male,35 - 44,37,married,5,high_school,low,South,South_Atlantic,Urban,4,Left,Fish,1,0,0,2,0,0.6,0.6,0.67,0.63,0.6,0.6,0.6,0,0,0.6,0.6,0,0,0.4,0.6,0.4,0.4,0.6,0.8,0,0,1
Ocean,male,54+,78,divorced,0,university,middle,South,South_Atlantic,Urban,0,Right,Fish,1,0,0,3,0.6,1,0.8,0.73,0.83,0.6,0.4,1,1,1,0.8,0.8,1,1,1,1,1,1,1,1,1,1,0
