survey,id,state,city,gender,age,marital_status,no_kids,education,employment ,career,race,income,US_census_region,US_census_division,community,distance_from_coast,political,poltical2,Q4_fishing,Q4_hunting,Q4_fish_hunt,Q6_overfish_deforest,Q6_melt_extremes,Q6_plastic_waste,Q6_oil_toxics,Q6_oa_soil,Q6_none,Q6_total_awareness,Q7_overfish_deforest,Q7_melt_extremes,Q7_plastic_waste,Q7_oil_toxics,Q7_oa_soil,Q7_none,Q8_coast,Q8_ocean,Q8_fw,Q8_forest,Q8.5_plains,Q8_mountains,Q9_percent,Q10_animal_health,Q11_habitat_health,Q13_concern_fish,Q19_scenario_effective,Q20_protected_area,Q20_captive_breed,Q20_relocate,Q20_regulations,Q20_education,Q20_supplament,Q21_invest_govregs,Q21.2_partnerships,Q21_donate_ngo,Q21_market,Q21_programs,Q21_penalties,Q21_none,Q21_total_funds,,,,
Ocean,-143029467,New Jersey,Trenton,female,45 - 54,married,one,university,employed_for_wages,education,white,prefer_not_to_say,Northeast,Middle Atlantic,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,1-2 hour drive away / Approximately 60 - 124 miles away,Lean Left (Democrat),Left,No,No,None,0,0,1,1,0,0,0.4,0,0,0.75,0.5,0,0,0.6,0.6,0.8,0.8,0.6,0.4,65,0.6,0.4,0.4,0.8,0.8,0.6,0.8,1,1,0.8,1,1,1,0,1,1,0,5,,,,
Ocean,1813883150,Florida,Wesley Chapel,male,54+,married,one,high_school,retired,other,white,prefer_not_to_say,South,South Atlantic,"Rural community: an area where people live and work further apart, usually small cities and towns",1-2 hour drive away / Approximately 60 - 124 miles away,Lean Right (Republican) ,Right,No,No,None,1,0,1,0,0,0,0.4,0.5,0,0.5,0,0,0,0.4,1,1,0.6,0.6,0.6,75,0.2,0.2,0.8,1,0.6,1,1,0.8,0.4,1,0,0,0,0,0,0,1,0,,,,
Ocean,330135079,Florida,Apopka,female,35 - 44,single,three,high_school,homemaker,homemaker,white,lower_i,South,South Atlantic,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,1-2 hour drive away / Approximately 60 - 124 miles away,I prefer not to say,Wont say,No,No,None,0,1,1,1,0,0,0.6,0,1,1,1,0,0,1,1,1,0.8,0.6,1,65,0.4,0.4,1,1,1,0.6,1,1,1,0.8,0,1,1,0,1,0,0,3,,,,
Ocean,211396604,Georgia,Lawrenceville,female,54+,married,one,postgraduate,retired,education,black,middle_i,South,South Atlantic,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,More than 5-hour drive away / Approximately 250 miles or more,Strong Left,Left,Yes,No,Fish,1,1,1,1,1,0,1,0.5,0.5,0.5,0.5,0.5,0,1,1,1,1,1,0.8,50,0.4,0.4,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6,,,,
Ocean,-1861534982,New York,Brentwood,female,25 - 34,married,zero,university,employed_for_wages,health_care_and_social_assistance,hispanic,middle_i,Northeast,Middle Atlantic,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,Less than 1-hour drive away / 10 - 59 miles away,Lean Left (Democrat),Left,Yes,Yes,Both,1,1,1,1,1,0,1,0.75,1,1,1,1,0,1,1,0.6,1,0.6,0.8,50,0.4,0.4,0.8,0.8,0.8,0.6,0.8,0.8,1,0.4,1,1,1,1,1,1,0,6,,,,
Ocean,-2119652306,Georgia,Woodstock,male,54+,married,one,postgraduate,self_employed,other,white,high_iii,South,South Atlantic,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,More than 5-hour drive away / Approximately 250 miles or more,Moderate,Moderate,Yes,No,Fish,1,1,1,1,1,0,1,0.5,0.75,1,0.75,1,0,1,1,1,1,0.6,0.8,50,0.4,0.4,0.8,1,1,1,0.8,0.8,0.8,1,0,1,0,0,0,1,0,2,,,,
Ocean,563569870,Louisiana,New Orleans,female,54+,divorced,zero,high_school,retired,manufacturing_computer_and_electronics,white,lower_i,South,West South Central,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",3-4 hour drive away / Approximately 125 - 249 miles away,Lean Left (Democrat),Left,No,No,None,0,1,1,1,0,0,0.6,0,0.5,1,0.5,0,0,0.8,0.8,0.6,1,0.6,0.6,35,0.6,0.6,0.8,1,1,0.8,1,1,1,0.8,1,1,1,1,1,1,0,6,,,,
Ocean,-206564292,Illinois,Oak Forest,female,18 - 24,single,zero,university,student,other,black,lower_i,Midwest,East North Central,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,Less than 1-hour drive away / 10 - 59 miles away,Moderate,Moderate,No,No,None,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,50,0.2,0.2,1,1,0.6,0.6,0.6,0.6,0.6,0.6,1,1,1,1,1,1,0,6,,,,
Ocean,1347946127,Arizona,Phoenix,male,54+,married,one,university,employed_for_wages,wholesale,white,lower_i,West,Mountain,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",More than 5-hour drive away / Approximately 250 miles or more,Strong Right,Right,No,Yes,Hunt,0,0,1,0,0,0,0.2,0,0,0.5,0,0,0,0.8,0.8,0.8,0.8,0.6,0.8,70,0.8,0.8,0.8,0.8,0.6,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0,1,0,1,,,,
Ocean,1817928665,Florida,Orlando,male,54+,divorced,zero,postgraduate,retired,consulting,white,lower_i,South,South Atlantic,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",Less than 1-hour drive away / 10 - 59 miles away,Strong Right,Right,No,No,None,0,1,0,0,1,0,0.4,0,0.25,0,0,0.5,0,0.6,0.4,0.8,0.6,1,0.6,50,0.4,0.4,0.8,0.8,0.8,1,0.6,1,0.4,0.8,0,0,1,0,0,0,0,1,,,,
Ocean,-1569348475,Michigan,White Cloud,female,35 - 44,married,one,university,employed_for_wages,education,white,middle_i,Midwest,East North Central,"Rural community: an area where people live and work further apart, usually small cities and towns",More than 5-hour drive away / Approximately 250 miles or more,Lean Left (Democrat),Left,No,No,None,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,25,0.4,0.4,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6,,,,
Ocean,-1182899832,New York,Brooklyn,male,54+,single,zero,university,unemployed_looking,finance_and_insurance,asian,middle_i,Northeast,Middle Atlantic,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",I live very close to the coast. It’s a short drive away,Strong Left,Left,Yes,No,Fish,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,50,0.2,0.2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,4,,,,
Ocean,1786718786,North Carolina,Dudley,female,35 - 44,married,three,vocational_technical_college,self_employed,homemaker,white,middle_i,South,South Atlantic,"Rural community: an area where people live and work further apart, usually small cities and towns",1-2 hour drive away / Approximately 60 - 124 miles away,Strong Right,Right,No,No,None,0,0,1,0,0,0,0.2,0,0,0.25,0,0,0,0.8,0.8,0.6,0.6,0.6,0.4,50,0.4,0.6,0.8,0.8,0.8,0.8,0.8,1,1,0.6,0,0,0,0,1,0,0,1,,,,
Ocean,-2014555660,Texas,Austin,male,54+,separated,zero,university,employed_for_wages,information_services_and_data,white,high_ii,South,West South Central,"In a city / Urban: an area where many people live and work close together, usually large cities and towns",3-4 hour drive away / Approximately 125 - 249 miles away,Lean Left (Democrat),Left,No,No,None,1,1,1,1,1,0,1,0.5,0.5,0.5,0.5,0.5,0,0.8,0.8,0.8,0.8,0.8,0.8,40,0.6,0.6,0.8,0.6,0.8,0.6,0.6,0.8,0.8,0.6,0,0,0,1,0,0,0,1,,,,
Ocean,1317457998,Nevada,Las Vegas,female,54+,widowed,zero,university,retired,other,white,lower_i,West,Mountain,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,More than 5-hour drive away / Approximately 250 miles or more,Lean Left (Democrat),Left,No,No,None,1,1,1,1,0,0,0.8,0.5,1,1,1,0,0,1,1,1,1,1,0.8,75,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,5,,,,
Ocean,-2033166547,Virginia,Ashburn,male,45 - 54,single,zero,university,employed_for_wages,finance_and_insurance,white,lower_i,South,South Atlantic,"Rural community: an area where people live and work further apart, usually small cities and towns",Less than 1-hour drive away / 10 - 59 miles away,Moderate,Moderate,Yes,No,Fish,0,1,1,0,0,0,0.4,0,0.5,0.5,0,0,0,0.4,0.4,0.6,0.8,0.6,0.6,50,0.6,0.6,0.6,0.6,1,0.6,0.8,0.8,0.8,0.8,1,0,1,0,1,1,0,4,,,,
Ocean,653901660,Idaho,Boise,male,18 - 24,married,one,postgraduate,employed_for_wages,health_care_and_social_assistance,white,high_iii,West,Mountain,Outside of a city / Suburban:  an area adjacent to or within commuting distance to an urban area,1-2 hour drive away / Approximately 60 - 124 miles away,Lean Left (Democrat),Left,No,No,None,1,1,1,1,0,0,0.8,1,1,1,1,0,0,1,1,0.6,0.6,0.8,0.8,40,0.4,0.2,1,1,1,0.8,0.8,1,1,1,1,1,0,1,1,1,0,5,,,,
